danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist
0.598,0.775,1,-4.035,0,0.0545,0.022,0,0.0677,0.687,129.819,audio_features,5SE57ljOIUJ1ybL9U6CuBH,spotify:track:5SE57ljOIUJ1ybL9U6CuBH,https://api.spotify.com/v1/tracks/5SE57ljOIUJ1ybL9U6CuBH,https://api.spotify.com/v1/audio-analysis/5SE57ljOIUJ1ybL9U6CuBH,223123,4,DNA,BTS
0.723,0.634,1,-5.415,1,0.0542,0.0892,0,0.0787,0.582,129.017,audio_features,3Ys2PYl1wyPKQIwyqhP9cQ,spotify:track:3Ys2PYl1wyPKQIwyqhP9cQ,https://api.spotify.com/v1/tracks/3Ys2PYl1wyPKQIwyqhP9cQ,https://api.spotify.com/v1/audio-analysis/3Ys2PYl1wyPKQIwyqhP9cQ,243267,4,Stay Gold,BTS
0.651,0.756,8,-4.388,1,0.0762,0.0298,0,0.396,0.473,121.96,audio_features,2tdq0CeAGSfhI2l4Gwkvgx,spotify:track:2tdq0CeAGSfhI2l4Gwkvgx,https://api.spotify.com/v1/tracks/2tdq0CeAGSfhI2l4Gwkvgx,https://api.spotify.com/v1/audio-analysis/2tdq0CeAGSfhI2l4Gwkvgx,227191,4,Best Of Me,BTS
0.541,0.661,1,-5.838,1,0.0889,0.103,0,0.0779,0.285,149.926,audio_features,22ryCgQttpV7oCrn7llGRu,spotify:track:22ryCgQttpV7oCrn7llGRu,https://api.spotify.com/v1/tracks/22ryCgQttpV7oCrn7llGRu,https://api.spotify.com/v1/audio-analysis/22ryCgQttpV7oCrn7llGRu,275696,4,Magic Shop,BTS
0.914,0.516,5,-4.178,0,0.0918,0.131,0,0.0441,0.702,119.969,audio_features,6rcn967QN5JtkPOBDwYIuT,spotify:track:6rcn967QN5JtkPOBDwYIuT,https://api.spotify.com/v1/tracks/6rcn967QN5JtkPOBDwYIuT,https://api.spotify.com/v1/audio-analysis/6rcn967QN5JtkPOBDwYIuT,195080,4,BOOM,NCT DREAM
0.809,0.911,6,-4.41,0,0.0617,0.00795,0.000179,0.181,0.64,122.035,audio_features,6sohnLuyLeUYSg1pW5SqHm,spotify:track:6sohnLuyLeUYSg1pW5SqHm,https://api.spotify.com/v1/tracks/6sohnLuyLeUYSg1pW5SqHm,https://api.spotify.com/v1/audio-analysis/6sohnLuyLeUYSg1pW5SqHm,191242,4,WANNABE,ITZY
0.663,0.857,7,-3.457,1,0.0581,0.0524,0,0.591,0.75,99.014,audio_features,6SSC9KZQaxBdyipKRigrFC,spotify:track:6SSC9KZQaxBdyipKRigrFC,https://api.spotify.com/v1/tracks/6SSC9KZQaxBdyipKRigrFC,https://api.spotify.com/v1/audio-analysis/6SSC9KZQaxBdyipKRigrFC,194941,4,Heart Attack (츄),LOONA
0.582,0.849,7,-4.153,0,0.0414,0.034,0.000138,0.119,0.355,107.004,audio_features,6wNKKoUQfLPmch7cqSFytV,spotify:track:6wNKKoUQfLPmch7cqSFytV,https://api.spotify.com/v1/tracks/6wNKKoUQfLPmch7cqSFytV,https://api.spotify.com/v1/audio-analysis/6wNKKoUQfLPmch7cqSFytV,237707,4,Butterfly,LOONA
0.625,0.824,0,-4.619,0,0.0614,0.000884,0,0.0908,0.438,94.963,audio_features,5XO1SOADQxkdqGLFxX8rLN,spotify:track:5XO1SOADQxkdqGLFxX8rLN,https://api.spotify.com/v1/tracks/5XO1SOADQxkdqGLFxX8rLN,https://api.spotify.com/v1/audio-analysis/5XO1SOADQxkdqGLFxX8rLN,177795,4,The Great Mermaid,LE SSERAFIM
0.695,0.749,7,-4.187,0,0.0277,0.392,5.23e-05,0.104,0.458,129.905,audio_features,7HGKvoju3ucB7UqVt1GoJu,spotify:track:7HGKvoju3ucB7UqVt1GoJu,https://api.spotify.com/v1/tracks/7HGKvoju3ucB7UqVt1GoJu,https://api.spotify.com/v1/audio-analysis/7HGKvoju3ucB7UqVt1GoJu,206080,4,YOUNG LUV,STAYC
0.734,0.855,9,-3.211,1,0.118,0.00481,0,0.123,0.422,126.035,audio_features,2AIWoHr9DF6y4KALCBKWQS,spotify:track:2AIWoHr9DF6y4KALCBKWQS,https://api.spotify.com/v1/tracks/2AIWoHr9DF6y4KALCBKWQS,https://api.spotify.com/v1/audio-analysis/2AIWoHr9DF6y4KALCBKWQS,222732,4,IDOL,BTS
0.781,0.814,8,-2.437,1,0.1,0.0735,1.92e-05,0.0565,0.546,124.028,audio_features,5awNIWVrh2ISfvPd5IUZNh,spotify:track:5awNIWVrh2ISfvPd5IUZNh,https://api.spotify.com/v1/tracks/5awNIWVrh2ISfvPd5IUZNh,https://api.spotify.com/v1/audio-analysis/5awNIWVrh2ISfvPd5IUZNh,201120,4,PTT (Paint The Town),LOONA
0.709,0.917,9,-3.315,1,0.189,0.0409,0,0.0839,0.515,125.042,audio_features,7nKQ5WAcjnG48knyLuo8gO,spotify:track:7nKQ5WAcjnG48knyLuo8gO,https://api.spotify.com/v1/tracks/7nKQ5WAcjnG48knyLuo8gO,https://api.spotify.com/v1/audio-analysis/7nKQ5WAcjnG48knyLuo8gO,191139,4,Red Flavor,Red Velvet
0.749,0.923,1,-1.014,0,0.0277,0.292,0,0.111,0.727,99.975,audio_features,2BQIMF7CyLe2xAKzh74A4C,spotify:track:2BQIMF7CyLe2xAKzh74A4C,https://api.spotify.com/v1/tracks/2BQIMF7CyLe2xAKzh74A4C,https://api.spotify.com/v1/audio-analysis/2BQIMF7CyLe2xAKzh74A4C,202200,4,Gee,Girls' Generation
0.717,0.795,4,-4.079,1,0.157,0.0487,1.67e-05,0.267,0.687,139.99,audio_features,5OnchRw2yAuIAwp2RYLCBa,spotify:track:5OnchRw2yAuIAwp2RYLCBa,https://api.spotify.com/v1/tracks/5OnchRw2yAuIAwp2RYLCBa,https://api.spotify.com/v1/audio-analysis/5OnchRw2yAuIAwp2RYLCBa,196734,4,Girl Front,LOOΠΔ / ODD EYE CIRCLE
0.536,0.296,5,-7.451,1,0.0346,0.892,0,0.0873,0.151,122.907,audio_features,6TBJkXHPhu3EsMk1bshwuI,spotify:track:6TBJkXHPhu3EsMk1bshwuI,https://api.spotify.com/v1/tracks/6TBJkXHPhu3EsMk1bshwuI,https://api.spotify.com/v1/audio-analysis/6TBJkXHPhu3EsMk1bshwuI,240907,3,ONLY,LeeHi
0.806,0.934,2,-0.836,1,0.11,0.104,0.00108,0.0618,0.444,128.016,audio_features,6yGQ86UppYULzTCxAWgwVN,spotify:track:6yGQ86UppYULzTCxAWgwVN,https://api.spotify.com/v1/tracks/6yGQ86UppYULzTCxAWgwVN,https://api.spotify.com/v1/audio-analysis/6yGQ86UppYULzTCxAWgwVN,205520,4,Why Not?,LOONA
0.702,0.938,0,-2.264,1,0.0925,0.0175,0,0.0762,0.564,105.963,audio_features,4ZsSeCSgARNHlLa69ejGzz,spotify:track:4ZsSeCSgARNHlLa69ejGzz,https://api.spotify.com/v1/tracks/4ZsSeCSgARNHlLa69ejGzz,https://api.spotify.com/v1/audio-analysis/4ZsSeCSgARNHlLa69ejGzz,178573,4,WOW,LOONA
0.736,0.806,10,-5.074,0,0.0785,0.056,4.33e-05,0.0978,0.84,114.971,audio_features,1j3zXAq0W9cLIpiAXwcYXF,spotify:track:1j3zXAq0W9cLIpiAXwcYXF,https://api.spotify.com/v1/tracks/1j3zXAq0W9cLIpiAXwcYXF,https://api.spotify.com/v1/audio-analysis/1j3zXAq0W9cLIpiAXwcYXF,197469,4,"Girl's Talk (이브, 츄)",LOONA
0.715,0.92,6,-1.787,0,0.0557,0.0557,0.0037,0.0607,0.874,158.15,audio_features,4wGt2KmqMQ7LC5bqPi51sf,spotify:track:4wGt2KmqMQ7LC5bqPi51sf,https://api.spotify.com/v1/tracks/4wGt2KmqMQ7LC5bqPi51sf,https://api.spotify.com/v1/audio-analysis/4wGt2KmqMQ7LC5bqPi51sf,198187,4,Star,LOONA
0.801,0.686,5,-4.252,0,0.0414,0.133,0,0.0882,0.885,120.007,audio_features,4LkXtklCusSbi6UxYWgH8B,spotify:track:4LkXtklCusSbi6UxYWgH8B,https://api.spotify.com/v1/tracks/4LkXtklCusSbi6UxYWgH8B,https://api.spotify.com/v1/audio-analysis/4LkXtklCusSbi6UxYWgH8B,170800,4,Scaredy Cat,DPR IAN
0.632,0.806,4,-4.317,1,0.0417,0.0346,2.87e-06,0.116,0.394,140.005,audio_features,0ZsRFf3jsn4MvGHUoIcKLy,spotify:track:0ZsRFf3jsn4MvGHUoIcKLy,https://api.spotify.com/v1/tracks/0ZsRFf3jsn4MvGHUoIcKLy,https://api.spotify.com/v1/audio-analysis/0ZsRFf3jsn4MvGHUoIcKLy,225733,4,ODD Front,LOOΠΔ / ODD EYE CIRCLE
0.634,0.928,1,-1.609,1,0.0514,0.00719,2.55e-06,0.0626,0.738,164.007,audio_features,52CBUrIdyf8tbZaUY9iawE,spotify:track:52CBUrIdyf8tbZaUY9iawE,https://api.spotify.com/v1/tracks/52CBUrIdyf8tbZaUY9iawE,https://api.spotify.com/v1/audio-analysis/52CBUrIdyf8tbZaUY9iawE,205373,4,After School,Weeekly
0.808,0.903,9,-2.179,1,0.0729,0.0899,0,0.0816,0.922,120.044,audio_features,1XyzcGhmO7iUamSS94XfqY,spotify:track:1XyzcGhmO7iUamSS94XfqY,https://api.spotify.com/v1/tracks/1XyzcGhmO7iUamSS94XfqY,https://api.spotify.com/v1/audio-analysis/1XyzcGhmO7iUamSS94XfqY,198053,4,The Feels,TWICE
