id,title,artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7lB4rxNVc7vm33ZSZXVRAQ,CHEER UP,TWICE,0.551,0.885,6,-1.489,1,0.139,0.0,0.114,0.509,172.95,208853,4
60jFaQV7Z4boGC4ob5B5c6,TT,TWICE,0.708,0.852,2,-4.398,1,0.0525,0.00016,0.399,0.396,129.946,212987,4
26OVhEqFDQH0Ij77QtmGP9,YES or YES,TWICE,0.702,0.913,11,-2.977,1,0.0514,3.72e-06,0.166,0.735,137.981,237680,4
3dGau6VEg8Vo3SX8yKqOa3,UP NO MORE,TWICE,0.709,0.88,2,-2.734,1,0.0298,4.46e-06,0.103,0.713,119.948,214240,4
30aVEUz4NgkGuegz32gjl8,If you're with me,Sung Si Kyung,0.393,0.386,0,-8.676,1,0.802,0.0,0.112,0.31,143.38,231693,4
3lrNsPdn98i6rxO142pLT6,O.O,NMIXX,0.39,0.767,11,-3.918,0,0.0354,4.26e-06,0.0601,0.285,200.263,172936,4
3ucx0k0IosRjrsmQc34zUW,TANK,NMIXX,0.637,0.927,0,-4.771,1,0.0293,0.000564,0.408,0.504,179.905,168147,4
3Rt7BjFHnJ4QxBGT897Vs2,BOKE,CIKI,0.802,0.488,1,-5.523,0,0.569,1.55e-05,0.22,0.496,94.994,184510,4
2oBMZYteeO8DyXV9gDx6Za,Feel My Rhythm,Red Velvet,0.412,0.94,1,-2.171,1,0.0648,0.0,0.358,0.423,157.964,210253,4
2g0LdZQce9xlcHb1mBJyuz,strawberry moon,IU,0.475,0.712,6,-3.306,1,0.138,0.0,0.0936,0.443,169.796,205333,4
5quFr5s5PXYfUX5jV2EBZ1,GANADARA (Feat. IU),IU,0.492,0.615,2,-6.663,1,0.196,0.0,0.0772,0.458,90.081,203728,4
0dcnrLo8s1rhjm8euGjI4n,DARARI,TREASURE,0.716,0.638,0,-6.87,1,0.486,0.0,0.0702,0.552,84.955,220716,4
0IGUXY4JbK18bu9oD4mPIm,TOMBOY,(G)I-DLE,0.755,0.87,1,-2.414,0,0.00988,0.0,0.0917,0.645,124.032,174387,4
